FIPS Code,State,Area name,"Less than a high school diploma, 2012-2016","High school diploma only, 2012-2016","Some college or associate's degree, 2012-2016","Bachelor's degree or higher, 2012-2016","Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016"
1001,AL,Autauga County,"4,528","12,519","10,451","8,968",12.4,34.3,28.7,24.6
4001,AZ,Apache County,"9,499","14,622","14,708","4,828",21.8,33.5,33.7,11.1
5001,AR,Arkansas County,"2,228","5,173","3,505","1,839",17.5,40.6,27.5,14.4
6001,CA,Alameda County,"141,393","200,371","282,921","488,594",12.7,18,25.4,43.9
8001,CO,Adams County,"54,142","86,439","95,040","67,888",17.8,28.5,31.3,22.4
9001,CT,Fairfield County,"64,298","142,289","134,758","295,047",10.1,22.4,21.2,46.4
10001,DE,Kent County,"14,727","37,729","33,943","25,985",13.1,33.6,30.2,23.1
11001,DC,District of Columbia,"46,510","83,367","76,804","256,316",10,18,16.6,55.4
12001,FL,Alachua County,"11,474","33,688","44,695","63,784",7.5,21.9,29.1,41.5
13001,GA,Appling County,"2,912","5,025","2,920","1,469",23.6,40.8,23.7,11.9
15001,HI,Hawaii County,"11,321","42,946","43,761","37,353",8.4,31.7,32.3,27.6
16001,ID,Ada County,"15,326","61,575","100,729","104,188",5.4,21.8,35.7,37
17001,IL,Adams County,"3,842","16,349","15,512","10,425",8.3,35.4,33.6,22.6
18001,IN,Adams County,"3,300","8,715","5,658","3,269",15.8,41.6,27,15.6
19001,IA,Adair County,349,"2,279","1,773",874,6.6,43.2,33.6,16.6
20001,KS,Allen County,841,"2,861","3,471","1,609",9.6,32.6,39.5,18.3
21001,KY,Adair County,"3,064","4,639","2,947","2,103",24,36.4,23.1,16.5
22001,LA,Acadia Parish,"9,829","16,173","9,611","4,456",24.5,40.4,24,11.1
23001,ME,Androscoggin County,"7,835","27,808","23,190","15,361",10.6,37.5,31.3,20.7
24001,MD,Allegany County,"5,543","21,302","14,824","9,124",10.9,41.9,29.2,18
25001,MA,Barnstable County,"7,595","41,442","48,042","67,730",4.6,25.1,29.2,41.1
26001,MI,Alcona County,976,"3,439","2,901","1,236",11.4,40.2,33.9,14.5
27001,MN,Aitkin County,"1,054","4,752","4,427","1,949",8.7,39,36.3,16
28001,MS,Adams County,"4,261","7,634","6,255","4,005",19.2,34.5,28.2,18.1
29001,MO,Adair County,"1,382","4,755","3,331","4,153",10.1,34.9,24.5,30.5
30001,MT,Beaverhead County,398,"2,016","1,927","1,938",6.3,32.1,30.7,30.9
31001,NE,Adams County,"1,846","6,451","7,432","4,583",9.1,31.8,36.6,22.6
32001,NV,Churchill County,"1,734","5,442","6,459","2,711",10.6,33.3,39.5,16.6
33001,NH,Belknap County,"3,696","13,318","13,776","13,490",8.3,30.1,31.1,30.5
34001,NJ,Atlantic County,"26,797","62,075","49,932","48,486",14.3,33.1,26.7,25.9
35001,NM,Bernalillo County,"54,396","107,248","144,417","149,275",11.9,23.6,31.7,32.8
36001,NY,Albany County,"14,881","52,410","55,665","81,047",7.3,25.7,27.3,39.7
37001,NC,Alamance County,"16,048","29,577","36,226","23,184",15.3,28.2,34.5,22.1
38001,ND,Adams County,68,572,579,463,4,34,34.4,27.5
39001,OH,Adams County,"4,159","8,727","4,140","2,080",21.8,45.7,21.7,10.9
40001,OK,Adair County,"2,926","6,114","3,287","1,912",20.5,42.9,23.1,13.4
41001,OR,Baker County,"1,132","3,732","4,229","2,715",9.6,31.6,35.8,23
42001,PA,Adams County,"8,631","29,599","17,011","15,460",12.2,41.9,24.1,21.9
44001,RI,Bristol County,"3,293","7,125","7,883","15,848",9.6,20.9,23.1,46.4
45001,SC,Abbeville County,"3,713","6,003","5,014","2,347",21.7,35.2,29.4,13.7
47001,TN,Anderson County,"7,776","17,775","15,213","12,850",14.5,33.2,28.4,24
48001,TX,Anderson County,"8,296","15,294","13,327","4,924",19.8,36.6,31.9,11.8
49001,UT,Beaver County,324,"1,392","1,226",799,8.7,37.2,32.8,21.4
50001,VT,Addison County,"1,889","8,066","6,255","9,029",7.5,32,24.8,35.8
51001,VA,Accomack County,"4,650","9,657","5,170","4,373",19.5,40.5,21.7,18.3
53001,WA,Adams County,"3,554","2,773","2,702","1,444",33.9,26.5,25.8,13.8
54001,WV,Barbour County,"2,153","5,003","2,786","1,463",18.9,43.9,24.4,12.8
55001,WI,Adams County,"2,050","6,928","5,124","2,045",12.7,42.9,31.7,12.7
56001,WY,Albany County,863,"3,434","6,390","9,811",4.2,16.8,31.2,47.9
72001,PR,Adjuntas Municipio,"4,737","3,105","2,406","2,342",37.6,24.7,19.1,18.6
1003,AL,Baldwin County,"13,956","40,154","44,486","41,350",10,28.7,31.8,29.5
4003,AZ,Cochise County,"11,823","20,470","35,455","20,423",13.4,23.2,40.2,23.2
5003,AR,Ashley County,"2,309","5,697","4,383","1,948",16.1,39.7,30.6,13.6
6003,CA,Alpine County,70,257,228,235,8.9,32.5,28.9,29.7
8003,CO,Alamosa County,"1,509","2,275","3,140","2,408",16.2,24.4,33.6,25.8
9003,CT,Hartford County,"66,493","168,347","156,166","228,322",10.7,27.2,25.2,36.9
10003,DE,New Castle County,"35,611","107,889","97,553","132,263",9.5,28.9,26.1,35.4
12003,FL,Baker County,"3,195","7,424","4,977","2,282",17.9,41.5,27.8,12.8
13003,GA,Atkinson County,"1,673","2,087","1,103",348,32.1,40.1,21.2,6.7
15003,HI,Honolulu County,"60,284","176,304","212,550","224,744",8.9,26.2,31.5,33.4
16003,ID,Adams County,303,"1,111",863,668,10.3,37.7,29.3,22.7
17003,IL,Alexander County,"1,201","1,644","1,531",432,25,34.2,31.8,9
18003,IN,Allen County,"25,397","68,489","76,939","64,373",10.8,29.1,32.7,27.4
19003,IA,Adams County,207,"1,102",980,459,7.5,40.1,35.7,16.7
20003,KS,Anderson County,490,"1,984","1,856","1,027",9.1,37,34.6,19.2
21003,KY,Allen County,"3,262","4,950","3,730","1,885",23.6,35.8,27,13.6
22003,LA,Allen Parish,"3,732","7,699","4,367","2,129",20.8,42.9,24.4,11.9
23003,ME,Aroostook County,"6,394","19,414","15,848","9,202",12.6,38.2,31.2,18.1
24003,MD,Anne Arundel County,"30,952","93,862","107,210","150,633",8.1,24.5,28,39.4
25003,MA,Berkshire County,"8,702","28,559","25,335","30,322",9.4,30.7,27.3,32.6
26003,MI,Alger County,769,"3,207","1,958","1,311",10.6,44.3,27,18.1
27003,MN,Anoka County,"15,002","64,635","85,396","64,900",6.5,28.1,37.1,28.2
28003,MS,Alcorn County,"4,688","8,794","7,538","4,169",18.6,34.9,29.9,16.6
29003,MO,Andrew County,"1,128","4,610","3,388","2,879",9.4,38.4,28.2,24
30003,MT,Big Horn County,"1,033","2,560","2,758","1,186",13.7,34,36.6,15.7
31003,NE,Antelope County,406,"1,502","1,750",834,9,33.4,39,18.6
32003,NV,Clark County,"210,261","401,877","461,907","317,635",15.1,28.9,33.2,22.8
